,Murder,Rape,Robbery,Assault,burglary,theft,motor vehicle theft
Report Total,"22,941","144,285","202,155","943,774","899,656","4,626,970","890,179"
"Rate per 1,000",0.07,0.43,0.61,2.84,2.71,13.94,2.68
